Day of Completed At Order,Order Number,Lat,Lng,Total weights per order,Region,Address Province Group,Ship Province,Geo District
15-07-2024,R538621153,12.951935,100.980882,13.5,UPC,UPC,ชลบุรี,อำเภอบางละมุง
15-07-2024,R695106305,13.7406,100.570808,28.7,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตวัฒนา
15-07-2024,R491836238,13.672394,100.630499,12.1,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตบางนา
15-07-2024,R285830515,13.638162,100.475868,8.64,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตทุ่งครุ
15-07-2024,R903028883,13.70914,100.54225,13.9,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตสาทร
15-07-2024,R529159129,13.645649,100.363019,8.6,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตบางบอน
15-07-2024,R228719521,13.830934,100.565008,7.28,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตจตุจักร
15-07-2024,R034166134,13.850437,100.69213,24.4,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตคลองสามวา
15-07-2024,R930068375,13.721143,100.669115,10.5,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขต ประเวศ
15-07-2024,R900444535,13.736543,100.76984,30.4,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตลาดกระบัง
15-07-2024,R061421088,18.139123,99.364882,9.2,UPC,UPC,ลำปาง,อำเภอเกาะคา
15-07-2024,R683428015,13.776047,100.533019,5.5,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตพญาไท
15-07-2024,R343432713,17.402477,102.454676,6.1,UPC,UPC,อุดรธานี,อำเภอ กุดจับ
15-07-2024,R473039956,13.73485,100.541017,11.95,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตปทุมวัน
15-07-2024,R471371415,13.821911,100.559788,5,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตจตุจักร
15-07-2024,R886632024,13.580535,100.731844,20.47,BKK,สมุทรปราการ,สมุทรปราการ,อำเภอบางพลี
15-07-2024,R779277582,13.797455,100.413496,5.85,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตตลิ่งชัน
15-07-2024,R449369196,13.839603,100.639135,19.6,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตบึงกุ่ม
15-07-2024,R750307742,13.570148,100.841047,9,BKK,สมุทรปราการ,สมุทรปราการ,อำเภอบางบ่อ
15-07-2024,R980528314,13.709695,100.52666,24,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตสาทร
15-07-2024,R839450285,14.093858,100.399166,1.38,BKK,ปทุมธานี,ปทุมธานี,อำเภอลาดหลุมแก้ว
15-07-2024,R431948285,13.837868,100.607959,12.2,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตลาดพร้าว
15-07-2024,R970942212,13.651735,100.676679,38.5,BKK,สมุทรปราการ,สมุทรปราการ,อำเภอบางพลี
15-07-2024,R464838762,13.775427,100.61122,17.75,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตวังทองหลาง
15-07-2024,R792039796,14.075546,100.597184,17.03,BKK,ปทุมธานี,ปทุมธานี,อำเภอคลองหลวง
15-07-2024,R882936805,13.778946,100.60348,12.04,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตวังทองหลาง
15-07-2024,R597239600,13.817659,100.572193,3,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตจตุจักร
15-07-2024,R394522672,13.75617,100.638994,15.23,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตบางกะปิ
15-07-2024,R236056720,13.832553,100.568621,10.9,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตจตุจักร
15-07-2024,R292909761,13.873412,100.600879,11,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตบางเขน
15-07-2024,R139725174,13.90691,100.380809,15.55,BKK,นนทบุรี,นนทบุรี,อำเภอบางบัวทอง
15-07-2024,R702993078,14.117384,100.613455,6.9,BKK,ปทุมธานี,ปทุมธานี,อำเภอคลองหลวง
15-07-2024,R309176312,13.990392,100.513123,11.2,BKK,ปทุมธานี,ปทุมธานี,อำเภอเมืองปทุมธานี
15-07-2024,R763177409,13.832553,100.568621,4.7,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตจตุจักร
15-07-2024,R127756432,13.599552,100.844741,30.6,BKK,สมุทรปราการ,สมุทรปราการ,อำเภอบางบ่อ
